Format Version,1.25,Take Name,Take 2026-01-05 06.23.38 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-05 06.23.39.046 下午,Capture Start Frame,526605,Total Frames in Take,2426,Total Exported Frames,2426,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175
,ID,"22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0"
,Parent,,,
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,31.659279,123.195198,239.253113
1,0.008333,31.650730,123.218788,239.239243
2,0.016667,31.660362,123.204147,239.237213
3,0.025000,31.659111,123.208458,239.238937
4,0.033333,31.658371,123.201057,239.253204
5,0.041667,31.652733,123.203560,239.256699
6,0.050000,31.656277,123.188377,239.255737
7,0.058333,31.657793,123.194077,239.241074
8,0.066667,31.660307,123.198006,239.243500
9,0.075000,31.654749,123.197121,239.251816
10,0.083333,31.661757,123.191612,239.249710
11,0.091667,31.658579,123.190765,239.241913
12,0.100000,31.659880,123.209427,239.247330
13,0.108333,31.661682,123.215004,239.247787
14,0.116667,31.661167,123.206589,239.244293
15,0.125000,31.657207,123.193153,239.244034
16,0.133333,31.659983,123.205025,239.241943
17,0.141667,31.656157,123.195129,239.258972
18,0.150000,31.656851,123.182648,239.256866
19,0.158333,31.659536,123.197701,239.234711
20,0.166667,31.657215,123.176727,239.249313
21,0.175000,31.654530,123.183777,239.260086
22,0.183333,31.657349,123.190262,239.258362
23,0.191667,31.658903,123.196724,239.244247
24,0.200000,31.658564,123.207603,239.243500
25,0.208333,31.658195,123.201439,239.248474
26,0.216667,31.658783,123.193581,239.254822
27,0.225000,31.659826,123.220604,239.236237
28,0.233333,31.666096,123.205681,239.231339
29,0.241667,31.657993,123.195175,239.242661
30,0.250000,31.660780,123.202034,239.245499
31,0.258333,31.659052,123.215347,239.241379
32,0.266667,31.659346,123.205612,239.238876
33,0.275000,31.658724,123.194267,239.251541
34,0.283333,31.658579,123.213074,239.244720
35,0.291667,31.661463,123.218628,239.242340
36,0.300000,31.657345,123.204887,239.241776
37,0.308333,31.659838,123.204391,239.237640
38,0.316667,31.661327,123.198891,239.238037
39,0.325000,31.662014,123.205025,239.243149
40,0.333333,31.659716,123.209114,239.240799
41,0.341667,31.663691,123.185089,239.255295
42,0.350000,31.657032,123.198273,239.244217
43,0.358333,31.659481,123.204628,239.253677
44,0.366667,31.655874,123.214363,239.249222
45,0.375000,31.655199,123.207329,239.243652
46,0.383333,31.661205,123.212173,239.237579
47,0.391667,31.651884,123.204208,239.247498
48,0.400000,31.656879,123.199059,239.252472
49,0.408333,31.659599,123.198189,239.237778
50,0.416667,31.656624,123.176170,239.245880
51,0.425000,31.655512,123.215973,239.234253
52,0.433333,31.653595,123.211136,239.244904
53,0.441667,31.661839,123.210304,239.236893
54,0.450000,31.659729,123.207619,239.235611
55,0.458333,31.658306,123.199242,239.250519
56,0.466667,31.660248,123.215797,239.246536
57,0.475000,31.659428,123.207314,239.246078
58,0.483333,31.659540,123.196564,239.238449
59,0.491667,31.657387,123.206047,239.234558
60,0.500000,31.657539,123.209076,239.243271
61,0.508333,31.659904,123.181961,239.258240
62,0.516667,31.655424,123.195053,239.240250
63,0.525000,31.636332,123.069290,239.242004
64,0.533333,31.659119,123.195549,239.248886
65,0.541667,31.661463,123.215858,239.245819
66,0.550000,31.658520,123.193611,239.246338
67,0.558333,31.659506,123.198990,239.238998
68,0.566667,31.661741,123.202362,239.244888
69,0.575000,31.659040,123.198181,239.247086
70,0.583333,31.653612,123.202492,239.246368
71,0.591667,31.658434,123.188873,239.249023
72,0.600000,31.653275,123.189568,239.240219
73,0.608333,31.658798,123.195885,239.246429
74,0.616667,31.661772,123.203438,239.252899
75,0.625000,31.657074,123.203537,239.247391
76,0.633333,31.658854,123.213089,239.241699
77,0.641667,31.662949,123.212257,239.243134
78,0.650000,31.659834,123.209351,239.246918
79,0.658333,31.659185,123.202286,239.242889
80,0.666667,31.660851,123.198769,239.241882
81,0.675000,31.654209,123.195679,239.242706
82,0.683333,31.662910,123.206284,239.232849
83,0.691667,31.660189,123.204391,239.243271
84,0.700000,31.658813,123.219742,239.233261
85,0.708333,31.660374,123.206879,239.236298
86,0.716667,31.656206,123.212975,239.240891
87,0.725000,31.659111,123.205139,239.253906
88,0.733333,31.660341,123.219658,239.239090
89,0.741667,31.661077,123.218163,239.237411
90,0.750000,31.659517,123.207535,239.234161
91,0.758333,31.657734,123.218376,239.237305
92,0.766667,31.659651,123.202080,239.241364
93,0.775000,31.663630,123.218613,239.240234
94,0.783333,31.661127,123.206665,239.247787
95,0.791667,31.659920,123.206924,239.243729
96,0.800000,31.658060,123.202805,239.257004
97,0.808333,31.653912,123.216858,239.241379
98,0.816667,31.658485,123.202385,239.235687
99,0.825000,31.663071,123.216293,239.239014
100,0.833333,31.660154,123.205299,239.240891
101,0.841667,31.660534,123.200554,239.249542
102,0.850000,31.660999,123.214043,239.232681
103,0.858333,31.661119,123.196793,239.243622
104,0.866667,31.656149,123.204063,239.244339
105,0.875000,31.660263,123.217201,239.240555
106,0.883333,31.661163,123.196472,239.248260
107,0.891667,31.655993,123.192780,239.253113
108,0.900000,31.662457,123.219681,239.236954
109,0.908333,31.659693,123.217926,239.240265
110,0.916667,31.655483,123.192696,239.251190
111,0.925000,31.655937,123.208817,239.237762
112,0.933333,31.661077,123.200790,239.244751
113,0.941667,31.659801,123.210068,239.246902
114,0.950000,31.660721,123.205421,239.238647
115,0.958333,31.661783,123.215324,239.230118
116,0.966667,31.661089,123.200119,239.235764
117,0.975000,31.662352,123.209587,239.235794
118,0.983333,31.658583,123.200005,239.252609
119,0.991667,31.657736,123.200150,239.247925
120,1.000000,31.663168,123.198814,239.239853
121,1.008333,31.655804,123.189896,239.250580
122,1.016667,31.662405,123.188217,239.255539
123,1.025000,31.656776,123.208214,239.237747
124,1.033333,31.654779,123.209816,239.240326
125,1.041667,31.657669,123.200340,239.243530
126,1.050000,31.654398,123.210365,239.239594
127,1.058333,31.662975,123.212906,239.247360
128,1.066667,31.653128,123.209473,239.243683
129,1.075000,31.661385,123.190796,239.248840
130,1.083333,31.660088,123.233696,239.232712
131,1.091667,31.662949,123.218521,239.238831
